thread_id,kind,participants,messages,sent_by_me,received,with_text,with_attachments,first_message,last_message,span_days
5f77366b68774f41,individual,2,62814,31635,31179,61432,1686,2015-11-28,2019-07-23,1332
549ca3c118ffdbf2,individual,2,31433,17936,13497,30995,541,2023-01-01,2026-09-07,1345
0e3a389132c9ab14,individual,2,20015,10102,9913,17930,1967,2025-09-01,2025-12-11,100
a931532bb85037ca,individual,2,9469,4658,4811,9047,624,2018-12-26,2020-09-13,626
0a8b88a0bc7e5070,individual,1,7091,3633,3458,7070,7,2018-02-19,2019-05-29,463
2e887579e819184f,individual,1,5725,3414,2311,5527,288,2025-08-01,2026-02-14,197
f44f9f3f1cbd9233,individual,1,4413,2660,1753,4407,5,2018-11-05,2025-02-21,2300
d5f85c25676c559a,individual,2,3677,1249,2428,3374,369,2015-11-17,2026-09-07,3946
88bd40e13b4fa948,individual,1,3644,0,3644,3616,54,2016-04-21,2018-08-03,834
82d73118028f9229,individual,2,2690,1596,1094,2476,276,2017-10-19,2020-06-19,973
353d05f945587c91,individual,1,2303,1462,841,2222,152,2026-01-08,2026-06-09,152
bac75f031bd4c107,individual,1,2161,1280,881,2057,217,2020-02-04,2026-08-31,2400
08ceb23461b13067,individual,1,2073,1836,237,2021,129,2018-12-17,2026-09-07,2820
dcccb846402c1737,individual,1,1845,951,894,1751,108,2018-04-23,2019-10-21,546
a73b32098e1973b5,individual,1,1613,536,1077,1609,3,2018-02-20,2020-05-13,812
aea4ba0615641748,individual,1,1467,842,625,1391,152,2015-12-01,2026-04-22,3795
8820bab73684a743,individual,1,1196,1195,1,1159,53,2020-07-31,2026-08-20,2210
8f0404a0413c1ba3,individual,1,1103,585,518,1045,66,2019-02-12,2020-05-19,462
dd1b75d07029fa07,individual,1,1064,612,452,983,118,2019-06-28,2023-11-14,1600
bc462392e568d765,individual,1,887,0,887,887,0,2024-06-27,2026-01-28,579
6e2a2d4b780b3313,individual,1,833,457,376,815,24,2017-05-22,2018-11-02,529
ea41e7c737e88733,individual,1,818,469,349,777,52,2018-02-16,2024-12-26,2504
0b6e0350341748c4,individual,1,807,194,613,800,18,2018-09-02,2019-08-02,333
48574b22add6dfcf,individual,1,802,0,802,782,41,2020-07-31,2020-10-07,68
fb6414905bfab80d,individual,1,761,493,268,701,98,2017-01-20,2026-06-03,3420
2135790c8ea39875,individual,1,678,2,676,676,2,2018-09-07,2025-05-25,2452
f9f1bffb37119ba9,individual,1,672,659,13,624,58,2015-12-26,2020-07-11,1659
ac08c18abd681629,individual,1,643,362,281,618,32,2023-08-12,2024-09-05,389
ba26b503373085cb,individual,1,639,333,306,621,33,2019-05-15,2019-08-11,87
327330d0d19977d1,individual,1,612,299,313,608,7,2018-03-27,2020-09-15,902
adbe390d17a35c52,individual,1,604,376,228,586,23,2017-05-04,2018-05-27,388
363c31f7e27b6c49,individual,1,576,202,374,565,13,2019-05-24,2020-09-10,475
50636f1dfe682e2b,group,2,576,297,279,556,16,2026-06-01,2026-08-19,79
7777cd1ffe552af6,individual,1,512,281,231,494,25,2015-12-15,2018-04-05,842
7bf8506e83b73e82,individual,1,460,268,192,428,41,2017-10-16,2018-08-30,317
f6a8b08b117dcae6,individual,1,346,165,181,339,10,2018-10-23,2018-10-27,4
b8c98f3d0e4bb96e,individual,1,336,199,137,333,3,2017-10-13,2018-10-03,354
4b678fa5ba7de672,individual,1,328,171,157,328,0,2018-11-29,2019-02-19,81
00a0c4196494b4ac,individual,1,324,154,170,321,3,2017-04-20,2017-07-12,82
660fef69bd658979,individual,1,310,0,310,310,0,2020-01-30,2024-06-27,1609
dbf7a3a868b3dbbf,individual,1,301,161,140,286,54,2025-05-27,2025-12-23,210
81d75775160c1868,individual,1,290,0,290,290,0,2019-04-21,2020-04-14,359
b8d16c7e48177fa9,individual,1,256,131,125,249,10,2019-03-27,2020-04-20,389
bfe6f7f5e6a6ebf9,individual,1,252,166,86,234,26,2017-04-22,2020-10-08,1264
25146ef9425c09ce,individual,1,237,134,103,227,12,2017-05-08,2025-08-16,3021
9b22a18cd5bdb1cb,individual,1,222,126,96,213,10,2017-09-28,2018-03-19,171
eb5a73afa38fed25,individual,1,212,96,116,211,1,2016-12-24,2017-02-11,49
acab718aaf77c270,individual,1,193,68,125,124,68,2011-03-19,2026-05-01,5522
d3686735c1a9afd1,individual,1,189,114,75,184,9,2015-12-10,2016-12-14,370
61de43c99fddc112,individual,1,179,126,53,179,0,2018-05-14,2018-11-27,196
d7bd48f9bc8a23a9,individual,1,176,112,64,147,33,2018-10-07,2019-12-03,422
b967ccd46fef25fb,individual,1,162,96,66,157,6,2017-01-20,2018-02-04,379
30d3c3da4197b34e,individual,1,159,96,63,159,0,2017-07-19,2017-07-25,5
3343111057adc9d3,individual,1,158,93,65,158,0,2019-03-17,2019-08-16,152
b19ca9aab54652ec,individual,1,156,97,59,155,1,2016-02-12,2018-01-14,702
92ee87e20f773107,individual,1,142,65,77,139,3,2023-08-11,2024-08-22,376
5cf8bacacfd2b17e,individual,1,137,51,86,134,3,2017-12-31,2020-05-13,863
86cdae5b41ae020c,individual,1,136,70,66,133,4,2017-07-11,2018-06-09,332
5dc9cbc5aecf0332,individual,1,132,61,71,125,11,2020-02-10,2020-03-30,48
6586b7d2a238d35f,individual,1,129,65,64,125,9,2019-09-27,2020-09-23,362
94d4870b2f5b088b,individual,1,124,67,57,120,4,2016-02-12,2020-05-09,1547
b6995013e905c44d,individual,1,121,70,51,118,7,2018-04-03,2018-09-15,165
ca709b9e9651587e,individual,1,116,29,87,116,0,2019-06-02,2019-07-17,44
35c492f2a0ca8f4c,individual,1,112,70,42,95,15,2017-06-19,2017-07-01,12
777ade6d46313f56,individual,1,111,2,109,111,0,2019-05-27,2020-02-06,255
9d3952e0c18fe2cd,individual,1,106,48,58,106,0,2018-03-12,2018-11-26,259
01c50efe4db1d5d8,individual,1,101,60,41,97,5,2017-04-19,2020-07-31,1198
4f475eb29f0c0248,individual,1,99,65,34,96,7,2023-08-13,2026-02-25,927
2c88f9e7dbe3d8bc,individual,1,97,57,40,92,6,2026-08-17,2026-08-19,1
c67c382e11cdaf13,individual,1,95,6,89,95,0,2018-09-04,2019-11-01,423
3bca831bed892bf2,individual,1,93,49,44,93,0,2016-04-12,2016-05-07,24
ca228f7c943897bd,individual,1,93,58,35,92,1,2019-08-02,2019-10-27,85
ee35f0ec646f74a7,individual,1,90,37,53,68,4,2017-04-11,2026-07-26,3392
aad11dedb6ca09ec,individual,1,89,5,84,89,0,2020-01-30,2020-05-22,112
be9446ea14a364d4,individual,1,87,52,35,83,7,2017-05-29,2018-08-24,451
f44b8121dfaf42d8,individual,1,87,38,49,73,3,2017-12-08,2018-04-05,117
de9afead799b95da,individual,1,87,46,41,83,4,2020-09-15,2025-02-20,1618
d64c64142bffa151,individual,1,85,44,41,82,3,2016-11-24,2017-04-11,138
904c50cc7db07513,individual,1,85,64,21,75,11,2018-03-08,2019-07-04,482
d86e8ad2d9f007d5,individual,2,84,39,45,79,5,2016-03-23,2025-11-02,3510
049f67a592bf5cc0,individual,1,80,59,21,68,18,2023-08-11,2026-04-12,975
5e61185d03ecb871,individual,1,77,45,32,70,11,2017-04-11,2019-02-01,660
a73024e4ebff302d,individual,1,74,38,36,58,18,2017-04-20,2017-07-02,72
8482e49452cdb506,individual,1,72,48,24,68,11,2023-10-08,2024-12-24,443
eeb911f9e3648932,individual,1,71,35,36,68,5,2023-09-04,2024-12-02,454
16432dd523176cb2,individual,1,68,45,23,66,2,2018-06-03,2018-06-29,25
739260810d95cf6d,individual,1,67,41,26,65,4,2017-06-18,2017-11-05,140
b57fcf252919e5df,individual,1,61,33,28,61,0,2016-02-07,2016-04-20,72
7bd6a0c6abcd59c1,individual,1,61,39,22,55,6,2020-09-26,2020-12-25,90
abb36ae7f7a38de9,individual,1,58,27,31,57,1,2019-06-01,2019-08-04,63
a73ff1d3227ef69b,individual,1,57,34,23,53,4,2017-09-28,2017-10-11,13
703dfb2a47f4b4e4,individual,1,57,0,57,57,0,2018-03-17,2020-05-22,796
3adf1e9bc4c2cde0,individual,1,57,29,28,55,7,2025-08-22,2025-09-11,20
292e443626fb52a1,individual,1,56,30,26,56,0,2019-05-07,2019-08-08,93
3855315e58989f60,individual,1,54,38,16,51,7,2016-04-02,2018-11-14,955
d40c4792ce4ac4f3,individual,1,54,39,15,44,14,2019-08-02,2019-09-18,47
307b1f27ca157e68,individual,1,54,22,32,49,5,2020-04-18,2020-04-23,5
09c3caad3c9735d4,individual,1,53,31,22,53,0,2018-04-14,2018-06-14,60
76479380a90aa81d,individual,1,53,24,29,43,17,2020-04-18,2020-04-19,0
